request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_89,9219763.58,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the IDR 13,756,000 request. Although IDR 9,219,763.58 is available today, the full amount cannot be completed safely within 90 days."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,396.17,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034.0,affordable_with_plan,full_payment,2025-02-05:34034,2025-02-05,reduce_to:event_8620:558.80|stop:event_8621,"Stop/reduce: reduce event_8620 to ZAR 558.80, stop the event_8621 subscription, then pay ZAR 34,034 today. This leaves at least ZAR 28,100 available."
request_93,1729.2,affordable_with_plan,full_payment,2026-04-07:1729.20,2026-04-07,stop:event_8691,"Stop/reduce: stop the event_8691 subscription, then pay USD 1,729.20 today. This leaves at least USD 1,900 available."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,6824.02,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 6,824.02 is available today, the full amount cannot be completed safely within 90 days."
request_96,74095.11,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,1533.99,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,7776.59,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Pay ZAR 27,148 in full on 15 September 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,17951.51,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90|reduce_to:event_9188:525.80,"Stop/reduce: reduce event_9232 to ZAR 1,065.90, reduce event_9188 to ZAR 525.80, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,26641.99,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 05 April 2026. This leaves at least EUR 900 available."
request_103,3948.29,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 3,948.29 is available today, the full amount cannot be completed safely within 90 days."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,53500.0,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-08,reduce_to:event_9720:1632,"Stop/reduce: reduce event_9720 to INR 1,632, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,459.0,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 04 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,1995.77,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308 request. Although ZAR 1,995.77 is available today, the full amount cannot be completed safely within 90 days."
request_109,646.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 06 August 2025. This leaves at least ZAR 11,200 available."
request_111,16465625.52,affordable_with_plan,full_payment,2026-04-03:16625000,,reduce_to:event_10302:335350,"Stop/reduce: reduce event_10302 to IDR 335,350, then pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available."
request_112,271.7,affordable_with_plan,full_payment,2024-06-05:271.70,2024-06-05,reduce_to:event_10400:13|stop:event_10334|stop:event_10333,"Stop/reduce: reduce event_10400 to EUR 13, stop the event_10334 subscription, stop the event_10333 subscription, then pay EUR 271.70 today. This leaves at least EUR 500 available."
request_113,27882.57,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,62160.81,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Pay INR 65,300 in full on 15 January 2026. Paying earlier would take the balance below the INR 113,400 minimum."
request_115,14489.31,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,7630.77,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 7,630.77 is available today, the full amount cannot be completed safely within 90 days."
request_117,853.19,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10878:20.50|reduce_to:event_10833:11,"Stop/reduce: reduce event_10878 to EUR 20.50, reduce event_10833 to EUR 11, then pay EUR 880 today. This leaves at least EUR 1,000 available."
request_118,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 08 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_119,59671.43,not_affordable,not_recommended,none,2025-06-15,none,"Do not proceed with the INR 203,500 request. Although INR 59,671.43 is available today, the full amount cannot be completed safely within 90 days."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_with_plan,full_payment,2024-03-03:633.60,2024-03-03,reduce_to:event_11231:19.50|reduce_to:event_11165:8|stop:event_11163,"Stop/reduce: reduce event_11231 to USD 19.50, reduce event_11165 to USD 8, stop the event_11163 subscription, then pay USD 633.60 today. This leaves at least USD 800 available."
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 05 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1398.22,not_affordable,not_recommended,none,2024-07-15,none,"Do not proceed with the EUR 3,104.20 request. Although EUR 1,398.22 is available today, the full amount cannot be completed safely within 90 days."
request_125,5630.8,affordable_later,wait,2025-11-15:6468,2025-11-15,none,"Pay ZAR 6,468 in full on 15 November 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,6829.71,affordable_later,wait,2024-11-15:23980,2024-11-15,none,"Pay ZAR 23,980 in full on 15 November 2024. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168.0,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-07,reduce_to:event_11812:1058.20,"Stop/reduce: reduce event_11812 to ZAR 1,058.20, then pay ZAR 25,168 today. This leaves at least ZAR 42,600 available."
request_129,110.05,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 110.05 is available today, the full amount cannot be completed safely within 90 days."
request_130,367.52,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1130.15,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-23,none,"Use 3 installments of USD 643.14, starting 06 May 2025. This leaves at least USD 1,100 available."
request_132,303.62,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,5532294.44,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,284.29,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,reduce_to:event_12458:17.50|reduce_to:event_12413:11.50,"Stop/reduce: reduce event_12458 to USD 17.50, reduce event_12413 to USD 11.50, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,536.07,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Stop/reduce: reduce event_12498 to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,28979.16,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,746.71,affordable_with_plan,partial_payment,2026-04-07:746.71|2026-04-15:510.23,2026-04-15,none,"Pay EUR 746.71 today and the remaining EUR 510.23 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1319.36,not_affordable,not_recommended,none,2024-10-15,none,"Do not proceed with the USD 2,316 request. Although USD 1,319.36 is available today, the full amount cannot be completed safely within 90 days."
request_140,1298.7,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 1,298.70 is available today, the full amount cannot be completed safely within 90 days."
request_141,26309.15,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 26,309.15 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,2490.83,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_with_plan,full_payment,2026-07-04:233.34,2026-07-04,reduce_to:event_13306:17.50|stop:event_13240|stop:event_13239,"Stop/reduce: reduce event_13306 to USD 17.50, stop the event_13240 subscription, stop the event_13239 subscription, then pay USD 233.34 today. This leaves at least USD 600 available."
request_145,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 May 2024. None of the available options keeps the INR 155,400 minimum protected."
request_146,16528.54,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 16,528.54 is available today, the full amount cannot be completed safely within 90 days."
request_147,465.85,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 08 April 2026. This leaves at least EUR 900 available."
request_148,7273.77,not_affordable,not_recommended,none,2024-07-15,none,"Do not proceed with the ZAR 22,242 request. Although ZAR 7,273.77 is available today, the full amount cannot be completed safely within 90 days."
request_149,6834.67,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 36,652 request. Although ZAR 6,834.67 is available today, the full amount cannot be completed safely within 90 days."
request_150,340.2,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 06 January 2026. This leaves at least EUR 700 available."
request_151,26999000.0,affordable_with_plan,full_payment,2024-09-03:26999000,2024-09-03,reduce_to:event_13923:633650,"Stop/reduce: reduce event_13923 to IDR 633,650, then pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available."
request_152,11055.76,not_affordable,not_recommended,none,2025-04-15,none,"Do not proceed with the ZAR 13,882 request. Although ZAR 11,055.76 is available today, the full amount cannot be completed safely within 90 days."
request_153,145.76,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 145.76 is available today, the full amount cannot be completed safely within 90 days."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 04 December 2024. This leaves at least EUR 1,300 available."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,8644.2,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,5332961.55,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 07 August 2025. This leaves at least INR 131,400 available."
request_159,5672.3,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13,398 request. Although ZAR 5,672.30 is available today, the full amount cannot be completed safely within 90 days."
request_160,577.16,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,1508793.99,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 1,508,793.99 is available today, the full amount cannot be completed safely within 90 days."
request_163,7849792.56,not_affordable,not_recommended,none,2024-11-20,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 7,849,792.56 is available today, the full amount cannot be completed safely within 90 days."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,63008.67,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,600 request. Although INR 63,008.67 is available today, the full amount cannot be completed safely within 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 03 December 2024. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,34850.6,affordable_with_plan,partial_payment,2026-01-07:34850.60|2026-01-15:14529.40,2026-01-15,none,"Pay INR 34,850.60 today and the remaining INR 14,529.40 on 15 January 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,30231608.01,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 06 August 2025. This leaves at least IDR 24,715,800 available."
request_171,37.66,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 37.66 is available today, the full amount cannot be completed safely within 90 days."
request_172,9005.66,affordable_with_plan,partial_payment,2024-06-05:9005.66|2024-06-15:1194.34,2024-06-15,none,"Pay ZAR 9,005.66 today and the remaining ZAR 1,194.34 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,54481.87,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the INR 113,000 request. Although INR 54,481.87 is available today, the full amount cannot be completed safely within 90 days."
request_174,1092.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,none,"Use 3 installments of EUR 397.35, starting 04 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
